time;latitude;longitude;depth;mag;dmin;rms;place
2015-08-14T00:38:03.857Z;59.9977;-152.6900;87.6;3.5;;0.64;54km WNW of Anchor Point, Alaska
2015-08-14T00:42:57.020Z;-33.0842;-177.0658;10.0;4.4;3.9;0.53;251km SE of L'Esperance Rock, New Zealand
2015-08-14T00:52:18.000Z;52.1586;-175.4476;137.4;2.5;;0.79;85km W of Atka, Alaska
2015-08-14T01:06:55.340Z;-25.4498;154.3241;10.0;4.3;2.9;1.07;133km ENE of Rainbow Beach, Australia
2015-08-14T01:23:48.770Z;33.4177;141.1238;33.2;4.6;1.1;0.82;128km ENE of Hachijo-jima, Japan
2015-08-14T02:01:29.126Z;41.8829;-119.6247;9.8;2.6;0.1;0.1395;68km ESE of Lakeview, Oregon
2015-08-14T02:43:52.000Z;52.1901;-169.4916;66.0;2.5;;0.42;93km SSW of Nikolski, Alaska
2015-08-14T02:45:16.000Z;52.0630;-169.2995;54.8;2.6;;0.82;101km SSW of Nikolski, Alaska
2015-08-14T03:19:22.700Z;36.4052;-98.1486;7.0;2.6;;0.56;19km SE of Helena, Oklahoma
2015-08-14T03:28:05.750Z;-31.1798;-178.3744;25.2;4.3;2.0;0.68;57km ENE of L'Esperance Rock, New Zealand
2015-08-14T04:18:20.580Z;33.8258;89.0539;10.0;4.3;4.5;0.91;241km NNW of Pubu, China
2015-08-14T04:35:27.647Z;41.8713;-119.6179;10.5;3.4;0.2;0.127;69km ESE of Lakeview, Oregon
2015-08-14T04:43:44.730Z;42.6447;143.1818;87.3;5.2;0.6;0.88;30km S of Obihiro, Japan
2015-08-14T04:46:58.810Z;34.1941;26.2427;21.5;4.2;0.9;0.98;97km SSE of Makry Gialos, Greece
2015-08-14T05:56:39.800Z;19.1362;-67.6193;29.0;2.5;0.8;0.34;89km NW of San Antonio, Puerto Rico
2015-08-14T06:08:00.440Z;36.4357;-121.0120;6.8;3.0;0.0;0.12;24km ENE of Greenfield, California
2015-08-14T06:32:17.728Z;41.8841;-119.6241;9.5;3.5;0.1;0.1663;68km ESE of Lakeview, Oregon
2015-08-14T06:33:54.650Z;28.3454;127.6508;180.3;4.8;1.6;0.63;179km W of Naze, Japan
2015-08-14T06:41:31.900Z;41.2821;-127.1043;10.0;4.4;2.3;1.04;247km WSW of Crescent City, California
2015-08-14T06:43:53.200Z;19.0188;-65.1875;15.0;2.7;0.7;0.25;79km NNW of Charlotte Amalie, U.S. Virgin Islands
2015-08-14T07:17:44.700Z;19.1035;-67.8246;37.0;3.0;0.9;0.28;84km NE of Punta Cana, Dominican Republic
2015-08-14T07:20:25.000Z;18.8131;-67.9950;24.0;2.9;0.6;0.31;50km ENE of Punta Cana, Dominican Republic
2015-08-14T07:41:25.210Z;40.7520;-74.5750;8.2;2.6;0.1;0.25;3km NNE of Bernardsville, New Jersey
2015-08-14T09:04:39.310Z;-52.3559;16.8913;10.0;4.7;20.2;0.87;Southwest of Africa
2015-08-14T09:08:48.000Z;52.0892;175.7140;41.5;2.5;;0.75;33km SSW of Buldir Island, Alaska
2015-08-14T09:31:53.940Z;-52.6303;17.1294;10.0;4.6;20.4;0.77;Southwest of Africa
2015-08-14T09:37:03.230Z;-58.9719;-25.6942;10.0;4.9;7.6;0.92;47km E of Bristol Island, South Sandwich Islands
2015-08-14T10:11:05.390Z;21.1441;-45.7866;10.0;5.0;15.5;0.74;Northern Mid-Atlantic Ridge
2015-08-14T10:12:56.610Z;21.1549;-45.8379;10.0;4.7;19.4;1.06;Northern Mid-Atlantic Ridge
2015-08-14T10:36:14.480Z;28.3010;141.3647;57.4;4.6;1.4;0.41;158km NNW of Chichi-shima, Japan
2015-08-14T10:57:57.070Z;-3.7479;138.2149;85.7;4.3;6.0;0.87;207km E of Enarotali, Indonesia
2015-08-14T12:13:17.980Z;38.9908;142.0624;56.4;4.5;1.5;0.87;31km ESE of Ofunato, Japan
2015-08-14T12:26:46.000Z;-9.1965;157.8953;14.9;4.2;2.0;0.36;167km SE of Gizo, Solomon Islands
2015-08-14T12:31:35.960Z;-4.9539;140.1727;35.0;5.0;7.7;0.85;125km N of Tanahmerah, Indonesia
2015-08-14T13:02:26.290Z;27.5691;86.0860;10.0;4.6;0.7;1.04;26km N of Ramechhap, Nepal
2015-08-14T13:08:07.600Z;19.6135;-65.4980;74.0;3.3;1.3;0.25;136km NNE of Vieques, Puerto Rico
2015-08-14T13:28:00.560Z;-27.3150;-176.0525;11.2;5.7;2.5;0.96;282km NE of Raoul Island, New Zealand
2015-08-14T13:43:12.760Z;-27.0844;-176.0072;10.0;5.2;2.7;0.95;Kermadec Islands region
2015-08-14T13:48:30.210Z;34.6642;73.3111;29.2;4.5;1.0;0.92;25km E of Batgram, Pakistan
2015-08-14T14:04:16.890Z;-8.0965;104.1489;30.5;4.5;2.8;0.94;216km SW of Tugu Hilir, Indonesia
2015-08-14T14:09:17.110Z;-26.0837;-177.0979;99.1;5.2;3.2;1.25;South of the Fiji Islands
2015-08-14T14:40:24.420Z;1.6504;96.9581;29.6;4.5;0.7;1.18;112km SE of Sinabang, Indonesia
2015-08-14T14:49:17.210Z;-18.0513;-178.0256;581.1;4.6;3.7;1.29;296km NNE of Ndoi Island, Fiji
2015-08-14T15:17:01.000Z;53.7387;173.0654;2.2;3.4;;0.34;99km N of Attu Station, Alaska
2015-08-14T15:20:54.930Z;34.0775;26.2189;19.3;4.4;1.6;1.14;109km SSE of Makry Gialos, Greece
2015-08-14T15:35:44.350Z;21.3812;143.8847;22.8;4.4;7.8;0.83;140km NW of Farallon de Pajaros, Northern Mariana Islands
2015-08-14T15:43:36.640Z;15.2645;146.2167;59.8;4.4;2.1;0.78;49km E of Saipan, Northern Mariana Islands
2015-08-14T16:24:06.000Z;51.5215;-179.4936;58.9;2.7;;0.34;39km NW of Amatignak Island, Alaska
2015-08-14T17:21:35.900Z;-24.6796;179.8418;510.9;4.2;7.1;0.75;South of the Fiji Islands
2015-08-14T17:34:50.500Z;1.5021;92.3067;28.7;4.1;5.3;0.36;Off the west coast of northern Sumatra
2015-08-14T18:03:02.780Z;21.1039;-45.8517;10.0;5.5;15.3;0.83;Northern Mid-Atlantic Ridge
2015-08-14T18:06:23.000Z;52.0703;-171.5455;58.6;2.5;;0.53;50km SSW of Amukta Island, Alaska
2015-08-14T19:13:06.320Z;14.8071;147.1051;10.0;4.8;2.5;0.9;152km ESE of Saipan, Northern Mariana Islands
2015-08-14T19:57:06.700Z;19.3764;-65.3691;78.0;3.2;1.1;0.15;116km NNE of Vieques, Puerto Rico
2015-08-14T20:34:14.800Z;36.1423;-97.5066;5.0;2.8;;0.6;22km NNE of Crescent, Oklahoma
