HUIDEVENT;DLAT;DLON;DDEPTH;TORIGIN;IGAP;DRMS;DDMIN;NPH;DPREFMAG
10003KUS;-4.0216;-104.168198;10;1444185021.04;112;0.97;1585.75;237;5.358
10003L1M;52.255501;-168.463806;9.33;1444261403.16;72;1.16;84.06;351;5.098
10003KUB;44.611401;-128.824203;10;1444177771.95;219;1.06;393.63;58;3.907
10003KUI;18.8892;-64.2565;34.65;1444180106.49;328;0.56;19.59;18;2.55
10003KUC;36.991402;-97.955704;5.78;1444178735.81;37;0.42;3.89;78;2.75
10003N60;51.356499;-174.429794;3.9;1444181255;0;0.57;0;15;2.61
10003L1L;-2.572;140.355698;24.28;1444182472.53;86;0.8;39.14;28;4.314
10003NUW;-0.8148;97.513298;25.89;1444180886.44;193;1.28;234.07;14;4.252
10003KUP;-30.382299;-72.067802;12.5;1444183945.21;196;0.58;52.6;30;4.231
10003N61;53.227798;-160.501297;10;1444184665.91;236;0.76;236.4;36;3.202
10003NUY;4.6912;95.644798;76.26;1444186074.19;194;1.32;156.01;15;4.269
10003NUX;-4.0482;-104.389;10;1444186171.58;233;1.22;2567.38;36;4.523
10003KW7;18.27;-65.365501;20.78;1444187371.1;177;0.55;9.8;11;2.8
10003KUW;-30.8207;-71.444603;40.64;1444186930.85;68;0.43;24.35;54;4.504
10003NV0;-18.232;-178.108902;583.44;1444187824.47;83;0.51;409.64;26;4.291
10003KW8;18.694;-65.1408;62.18;1444188715.15;235;0.16;43.12;8;2.55
10003N62;52.467499;-168.636307;51.9;1444189126;0;0.48;0;19;2.9
10003KUV;33.881302;136.308701;384.69;1444186877.55;41;0.46;175.8;347;4.601
10003KV3;62.2449;-153.391098;2.1;1444188587;0;0.72;0;134;3.3
10003NV1;-33.238701;-177.779404;10;1444189772.24;200;0.94;596.89;25;4.728
10003NVB;-5.4741;151.843903;60.54;1444190304.29;95;0.6;146;25;4.682
10003N64;52.3965;-169.235306;20.5;1444190913;0;1.01;0;17;3.11
10003KV9;-30.2705;-177.880295;27.64;1444189833.44;82;0.58;113.64;129;4.963
10003NV2;-1.0213;120.7043;63.51;1444190770.79;127;0.93;229.84;19;4.326
10003N63;55.752701;-157.013504;26.7;1444190849;0;0.57;0;53;3.3
10003KVD;44.057499;146.993103;45.83;1444191407.45;141;0.71;352.49;40;4.311
10003KVI;-30.3764;-72.174896;11.91;1444193154.96;196;0.7;61.38;31;4.084
10003KVF;36.319302;-97.550102;1.307;1444192570.8;61;0.46;0;66;2.9
10003NV3;-17.6399;167.359299;21.24;1444193514.88;124;0.44;242.96;19;4.379
10003N65;52.030602;-175.639099;193.6;1444193888;0;0.25;0;25;2.71
10003NV4;27.8771;84.881699;34.7;1444193900.55;149;0.89;46.48;20;4.245
