HUIDEVENT;DLAT;DLON;DDEPTH;TORIGIN;IGAP;DRMS;DDMIN;NPH;DPREFMAG
100043FL;-54.007;-2.3854;14.25;1449260538.06;110;0.57;1971.71;58;5.034
1000438A;21.489401;145.748001;10;1449203150.83;22;0.83;569.43;536;5.4
100043Z2;-47.617001;85.102097;35;1449267900.12;8;1.42;1116.51;1566;7.1
1000437F;60.877998;-149.141006;28.3;1449191278;0;0.56;0;131;2.5
10004380;-33.983002;-109.263496;10;1449193719.95;65;0.47;756.35;93;4.812
1000455K;1.684;-30.607901;10;1449204855.62;78;0.9;2706.71;49;4.724
20004H5U;51.941002;179.7827;180.08;1449187545;148;0.36;15.68;22;2.8
1000436K;36.5191;-99.020103;0.968;1449188483.3;193;0.59;0;37;2.5
1000455H;-61.684502;-155.983704;10;1449200152.78;81;0.74;2228.35;15;4.226
20004G23;19.407499;-155.2798;0.9;1449187716.04;28;0.62;0.51;24;2.75
1000436U;35.917999;140.147003;68.77;1449189424.66;124;0.57;34.92;62;4.417
1000438I;36.831501;-98.273697;4.986;1449205692.9;115;0.26;0;59;3.2
1000455M;-2.2169;138.499695;31.39;1449209726.22;128;0.98;247.08;21;4.038
1000438E;47.470299;-121.953697;23.63;1449203884;45;0.81;6.66;106;2.43
1000436Q;36.760502;-98.052299;6.714;1449188860.5;69;0.62;0;87;3.6
10004398;19.214199;-67.910698;28.69;1449202597.38;338;0.73;103.51;10;2.96
1000438F;-30.5429;-72.116501;14.46;1449204977.43;116;0.53;48.37;51;4.173
20004H5X;55.493999;-151.878998;23.7;1449208683.18;0;0.51;0;58;3.247
1000438Z;32.865501;-96.902802;5.66;1449212163.25;108;0.3;1.78;18;2.613
20004H5W;52.0989;-176.483002;257.899;1449205805.99;0;0.33;0;19;2.71
1000438Y;61.403;-147.378998;8.3;1449212392.53;0;0.55;0;99;2.71
1000455L;9.6055;126.1558;105.63;1449200651.94;131;0.79;287.22;40;4.471
20004H5R;53.1315;-161.828201;10;1449201893.78;217;0.5;210.38;50;3.161
1000438N;39.891998;-120.835701;3.41;1449207440.56;63;0.52;3.83;29;2.7
1000455P;5.7791;126.513901;101.63;1449233862.02;188;0.49;176.02;31;4.11
100043C3;57.157001;-152.253998;25.4;1449230533.25;0;0.87;0;55;2.71
1000455N;9.9649;125.9795;91.56;1449220641.98;135;0.76;322.8;33;4.575
100043A8;-6.2953;154.695297;66.75;1449228786.49;70;0.62;364.05;72;4.712
1000439D;59.900002;-152.737;84.1;1449216576;0;0.48;0;36;2.5
100043A5;-23.6677;-64.6017;28.28;1449228763.03;36;0.94;456.23;63;4.901
100044HU;32.863499;-96.920601;5;1449238978.7;63;0.41;2.56;22;2.092
100043AQ;19.5522;-65.328201;66.2;1449234439.52;268;0.5;139.16;25;3.59
10004396;-34.039299;-109.378502;10;1449214642.27;73;0.33;766.13;55;4.883
20004H67;51.074699;-179.944199;26.98;1449237067.79;236;0.31;62.6;20;2.8
100043AS;36.274601;-96.654099;6.155;1449238214.3;84;0.5;0;62;2.6
10004ALH;13.106;-89.130402;37.02;1449246566.24;220;0.68;65.05;11;4
1000455Q;-18.2796;-177.819107;588.36;1449237112.76;140;0.46;440.78;18;4.184
100043AR;57.457699;120.696999;16.25;1449235624.32;39;0.82;159.56;123;4.727
1000455R;24.4758;123.135696;87.88;1449239384.68;103;0.9;12.57;29;4.08
1000439F;-30.778799;-71.4814;45.13;1449218678.67;65;0.74;18.68;55;4.378
100043C8;58.549999;-154.035004;80.5;1449243137.34;0;0.68;0;113;2.71
100043CC;-14.9185;167.512695;118.8;1449244735.04;146;1.02;67.16;27;4.493
100043C2;36.7635;-98.055;6.234;1449242273.3;76;0.43;0;36;3.1
100043E9;-31.247101;-68.3787;100.81;1449251846.98;91;1.05;44.03;59;4.284
100043C6;39.259998;40.220001;5;1449243460.8;0;2.33;0;29;4.395
100043DY;-4.826;144.179993;106.07;1449248568.68;37;0.81;462.46;107;4.717
100043E3;36.834999;-98.283302;4.689;1449250292.5;116;0.85;0;78;2.8
1000455U;6.7556;127.238197;39.82;1449249060.06;112;1.02;186.36;50;4.57
100043EA;49.8876;-177.669601;10;1449248834.73;246;0.42;208.6;34;3.21
1000455V;50.242901;156.829697;57.56;1449250153.07;179;0.58;324.69;27;4.65
100043EL;61.239201;-150.796707;58.7;1449255975;0;0.97;0;92;2.2
1000455Z;19.525801;146.421005;35;1449254602.86;221;0.33;4342.83;9;4.148
100043ET;-20.8316;-178.5242;587.3;1449254942.51;123;1.09;495.71;119;4.399
20004H64;50.116501;-178.473297;10;1449255950.91;254;0.99;184.25;19;2.8
1000455X;28.7901;141.971497;38.23;1449264234.32;136;0.49;188.81;50;4.613
100043EF;-40.5494;174.259796;59.24;1449255044.72;44;0.91;101.3;56;4.808
1000447T;18.796801;-67.429001;7.65;1449265697.76;304;1.07;46.46;10;2.53
100043ER;28.982;51.9632;25.23;1449256996.26;37;0.93;90.51;210;4.7
20004H5T;53.4492;-165.586395;60.23;1449266403.72;191;0.46;73.94;39;3.47
100043UC;36.613602;-98.053299;5.975;1449267477.8;78;0.63;0;67;3.2
20004H66;52.162201;-174.040207;158.78;1449272541.73;194;0.68;138.66;16;2.5
10004562;-32.379501;-178.286804;10.97;1449271441.04;176;0.87;349.04;19;4.403
100044WW;36.722599;-98.387398;7.069;1449268685.6;116;0.32;0;28;2.5
10004563;46.25;153.077103;22.01;1449272931.82;131;0.64;832.74;32;4.3
1000447N;36.617199;-98.052299;6.288;1449271524.6;78;0.79;0;35;2.9
