
STA            LAT          LON     ELEV STAT     ONDATE    OFFDATE STANAME
------ ----------- ------------ -------- ---- ---------- ---------- --------------------------------------------------
AAK       42.63910     74.49420    1.645 ss      2007065         -1 Ala-Archa, Kyrgyzstan
ABKT      37.93040     58.11890     .678 ss      1993115         -1 Alibek, Turkmenistan
AFI      -13.90930   -171.77730     .706 ss      2004334         -1 AFIAMALU, SAMOA
AK01      50.69110     29.21310     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK01      50.69110     29.21310     .160 ss      2006257         -1 Malin Array element AK01
AK02      50.65730     29.20570     .170 ss      2006257         -1 Malin Array element AK02
AK02      50.65730     29.20570     .170 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK03      50.72630     29.22170     .160 ss      2006257         -1 Malin Array element AK03
AK03      50.72630     29.22170     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK04      50.72260     29.16600     .160 ss      2006257         -1 Malin Array element AK04
AK04      50.72260     29.16600     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK05      50.61970     29.20360     .180 ss      2006257         -1 Malin Array element AK05
AK05      50.61970     29.20360     .180 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK06      50.58580     29.19850     .190 ss      2006257         -1 Malin Array element AK06
AK06      50.58580     29.19850     .190 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK07      50.55070     29.20440     .170 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK07      50.55070     29.20440     .170 ss      2006257         -1 Malin Array element AK07
AK08      50.63380     29.25480     .122 ss      2006257         -1 Malin Array element AK08
AK08      50.63380     29.25480     .122 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK09      50.61510     29.28460     .180 ss      2006257         -1 Malin Array element AK09
AK09      50.61510     29.28460     .180 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK10      50.59900     29.25130     .180 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK10      50.59900     29.25130     .180 ss      2006257         -1 Malin Array element AK10
AK11      50.67840     29.16770     .160 ss      2006257         -1 Malin Array element AK11
AK11      50.67840     29.16770     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK12      50.64370     29.15490     .180 ss      2006257         -1 Malin Array element AK12
AK12      50.64370     29.15490     .180 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK13      50.61290     29.06060     .180 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK13      50.61290     29.06060     .180 ss      2006257         -1 Malin Array element AK13
AK14      50.63060     29.10760     .180 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK14      50.63060     29.10760     .180 ss      2006257         -1 Malin Array element AK14
AK15      50.69510     29.12400     .170 ss      2006257         -1 Malin Array element AK15
AK15      50.69510     29.12400     .170 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK16      50.67000     29.10580     .170 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK16      50.67000     29.10580     .170 ss      2006257         -1 Malin Array element AK16
AK17      50.68510     29.05740     .170 ss      2006257         -1 Malin Array element AK17
AK17      50.68510     29.05740     .170 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK18      50.72210     29.06760     .170 ss      2006257         -1 Malin Array element AK18
AK18      50.72210     29.06760     .170 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK19      50.72220     29.01160     .180 ss      2006257         -1 Malin Array element AK19
AK19      50.72220     29.01160     .180 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK20      50.74300     29.01000     .170 ss      2006257         -1 Malin Array element AK20
AK20      50.74300     29.01000     .170 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK21      50.77640     29.04190     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK21      50.77640     29.04190     .160 ss      2006257         -1 Malin Array element AK21
AK22      50.76080     29.07120     .160 ss      2006257         -1 Malin Array element AK22
AK22      50.76080     29.07120     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AK23      50.76250     29.12540     .160 ss      2006257         -1 Malin Array element AK23
AK23      50.76250     29.12540     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AKASG     50.70120     29.22420     .160 ar      2002067    2006256 MALIN ARRAY, Ukraine
AKASG     50.70120     29.22420     .160 ar      2006257         -1 Malin Array
AKBB      50.70120     29.22420     .160 ss      2006257         -1 Malin Array element AKBB
AKBB      50.70120     29.22420     .160 ss      2002067    2006256 MALIN ARRAY, Ukraine
AKTO      50.43480     58.01640     .379 ss      2005256         -1 AKTYUBINSK, KAZAKHSTAN
AL31      65.06494   -147.56685     .298 ss      1977149         -1 EIELSON, AK ARRAY, United States of America
AL32      65.19206   -147.32121     .603 ss      1977149         -1 EIELSON, AK ARRAY, United States of America
AL33      65.02849   -147.19989     .575 ss      1977149         -1 EIELSON, AK ARRAY, United States of America
AL34      64.91018   -147.44776     .340 ss      1977149         -1 EIELSON, AK ARRAY, United States of America
AL35      64.94421   -147.86425     .470 ss      1977149         -1 EIELSON, AK ARRAY, United States of America
AL36      65.09905   -148.00676     .436 ss      1977149         -1 EIELSON, AK ARRAY, United States of America
AL37      65.23479   -147.74515     .631 ss      1977149         -1 EIELSON, AK ARRAY, United States of America
ALAR      65.06494   -147.56685     .298 ar      1977149         -1 EIELSON, AK ARRAY, United States of America
ALQ       34.94250   -106.45750    1.849 ss      1992015    2004071 Albuquerque, New Mexico
ANMO      34.94620   -106.45670    1.840 ss      1989241         -1 ALBUQUERQUE
APG       15.00420    -90.46400    1.868 ss      2008069         -1 El Apazote, Baja Verapaz, Guatemala
ARA0      69.53490     25.50580     .403 ss      1987273    2002046 ARCESS Array, Norway
ARA0      69.53480     25.50570     .403 ss      2002046         -1 ARCESS Array, Norway
ARA1      69.53630     25.50710     .411 ss      1987273         -1 ARCESS Array, Norway
ARA2      69.53380     25.50780     .392 ss      1987273         -1 ARCESS Array, Norway
ARA3      69.53460     25.50190     .402 ss      1987273         -1 ARCESS Array, Norway
ARB1      69.53790     25.50790     .414 ss      1987273         -1 ARCESS Array, Norway
ARB2      69.53570     25.51340     .397 ss      1987273    2002046 ARCESS Array, Norway
ARB2      69.53570     25.51330     .397 ss      2002046         -1 ARCESS Array, Norway
ARB3      69.53240     25.51060     .376 ss      1987273    2002046 ARCESS Array, Norway
ARB3      69.53240     25.51060     .397 ss      2002046         -1 ARCESS Array, Norway
ARB4      69.53280     25.49980     .378 ss      1987273         -1 ARCESS Array, Norway
ARB5      69.53630     25.49850     .405 ss      1987273         -1 ARCESS Array, Norway
ARC1      69.54110     25.50790     .381 ss      1987273         -1 ARCESS Array, Norway
ARC2      69.53830     25.52290     .395 ss      1987273         -1 ARCESS Array, Norway
ARC3      69.53290     25.52310     .376 ss      1987273         -1 ARCESS Array, Norway
ARC4      69.52930     25.51170     .377 ss      1987273         -1 ARCESS Array, Norway
ARC5      69.53000     25.49810     .374 ss      2002046         -1 ARCESS Array, Norway
ARC5      69.53000     25.49820     .374 ss      1987273    2002046 ARCESS Array, Norway
ARC6      69.53410     25.48820     .395 ss      1987273         -1 ARCESS Array, Norway
ARC7      69.53960     25.49360     .362 ss      1987273         -1 ARCESS Array, Norway
ARCES     69.53490     25.50580     .403 ar      1987273    2002046 ARCESS Array, Norway
ARCES     69.53480     25.50570     .403 ar      2002046         -1 ARCESS Array, Norway
ARD1      69.54830     25.50920     .395 ss      2002046         -1 ARCESS Array, Norway
ARD1      69.54830     25.50930     .395 ss      1987273    2002046 ARCESS Array, Norway
ARD2      69.54510     25.53080     .366 ss      2002046         -1 ARCESS Array, Norway
ARD2      69.54520     25.53080     .366 ss      1987273    2002046 ARCESS Array, Norway
ARD3      69.53660     25.54830     .331 ss      1987273    2002046 ARCESS Array, Norway
ARD3      69.53650     25.54830     .331 ss      2002046         -1 ARCESS Array, Norway
ARD4      69.52710     25.53620     .371 ss      1987273         -1 ARCESS Array, Norway
ARD5      69.52140     25.51180     .351 ss      1987273         -1 ARCESS Array, Norway
ARD6      69.52270     25.49000     .413 ss      1987273         -1 ARCESS Array, Norway
ARD7      69.52940     25.47070     .413 ss      1987273         -1 ARCESS Array, Norway
ARD8      69.53840     25.46860     .368 ss      1987273         -1 ARCESS Array, Norway
ARD9      69.54540     25.48570     .359 ss      1987273         -1 ARCESS Array, Norway
ARE0      69.53480     25.50570     .356 ss      1987273    2002046 ARCESS Array, Norway
ARE0      69.53490     25.50570     .403 ss      2002046         -1 ARCESS Array, Norway
ARU       56.43020     58.56250     .250 ss      1989060    2010158 Arti, Russia
ARU       56.42930     58.56150     .260 ss      2010159         -1 Arti
AS01     -23.66322    133.95199     .622 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS01
AS01     -23.66470    133.95080     .605 ss      1987001    2005344 Alice Springs Array, Australia
AS02     -23.67920    133.93690     .619 ss      1987001    2005344 Alice Springs Array, Australia
AS02     -23.67763    133.93822     .637 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS02
AS03     -23.67440    133.91970     .643 ss      1987001    2005344 Alice Springs Array, Australia
AS03     -23.67287    133.92126     .660 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS03
AS04     -23.65970    133.92920     .666 ss      1987001    2005344 Alice Springs Array, Australia
AS04     -23.65818    133.93048     .684 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS04
AS05     -23.64920    133.94750     .683 ss      1987001    2005344 Alice Springs Array, Australia
AS05     -23.64776    133.94893     .700 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS05
AS06     -23.64750    133.97140     .663 ss      1987001    2005344 Alice Springs Array, Australia
AS06     -23.64621    133.97251     .681 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS06
AS07     -23.66404    133.97114     .630 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS07
AS07     -23.66560    133.96970     .614 ss      1987001    2005344 Alice Springs Array, Australia
AS08     -23.68140    133.96000     .594 ss      1987001    2005344 Alice Springs Array, Australia
AS08     -23.67994    133.96115     .611 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS08
AS09     -23.69940    133.94140     .591 ss      1987001    2005344 Alice Springs Array, Australia
AS09     -23.69801    133.94256     .608 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS09
AS10     -23.69553    133.91519     .624 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS10
AS10     -23.69690    133.91390     .607 ss      1987001    2005344 Alice Springs Array, Australia
AS11     -23.67687    133.89897     .617 ss      2006060         -1 ALICE SPRINGS ARRAY ELEMENT AS11
AS11     -23.67687    133.89897     .608 ss      2005345    2006060 ALICE SPRINGS ARRAY ELEMENT AS11
AS11     -23.67830    133.89780     .608 ss      1987001    2005344 Alice Springs Array, Australia
AS12     -23.66640    133.90440     .607 ss      1987001    2005344 Alice Springs Array, Australia
AS12     -23.66490    133.90573     .624 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS12
AS13     -23.65054    133.89569     .621 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS13
AS13     -23.65190    133.89440     .604 ss      1987001    2005344 Alice Springs Array, Australia
AS14     -23.65033    133.91164     .637 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS14
AS14     -23.65170    133.91030     .620 ss      1987001    2005344 Alice Springs Array, Australia
AS15     -23.63560    133.91220     .669 ss      1987001    2005344 Alice Springs Array, Australia
AS15     -23.63405    133.91341     .686 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS15
AS16     -23.63547    133.93128     .693 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS16
AS16     -23.63690    133.93000     .676 ss      1987001    2005344 Alice Springs Array, Australia
AS17     -23.66440    133.99170     .615 ss      1987001    2005344 Alice Springs Array, Australia
AS17     -23.66313    133.99283     .633 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS17
AS18     -23.68858    133.98202     .608 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS18
AS18     -23.69000    133.98080     .592 ss      1987001    2005344 Alice Springs Array, Australia
AS19     -23.70284    133.96378     .594 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS19
AS19     -23.70440    133.96250     .577 ss      1987001    2005344 Alice Springs Array, Australia
AS31     -23.66513    133.90526     .627 ss      2005345         -1 ALICE SPRINGS ARRAY ELEMENT AS31
ASAR     -23.66640    133.90440     .607 ar      1987001    2005344 Alice Springs Array, Australia
ASAR     -23.66513    133.90526     .627 ar      2005345         -1 ALICE SPRINGS ARRAY
ASC23     -8.06970    -14.41750     .000 ss      1996198         -1 Ascension Island
